apart_id,Palabra Más Común
-9176329899050098805,solo
-9166107486530584756,en familia
-9149301768674427930,en pareja
-9072420480833505060,en pareja
-9013605875850264512,en pareja
-8999426193388283311,en pareja
-8996850747611453253,solo
-8943970776831000275,solo
-8935295201991868352,solo
-8898507616065421168,en familia
-8898452295368114873,en familia
-8870192508169425104,en pareja
-8854636247290428606,solo
-8797962339174616948,solo
-8760839921098433363,en pareja
-8758595834408196371,solo
-8726592472006277136,en familia
-8701427283866445966,en familia
-8697259104383872986,en pareja
-8686798600612151904,solo
-8686494177214349511,en pareja
-8606194464347628787,en pareja
-8598382227980450229,con amigos
-8515510798528275172,solo
-8506852451639458999,solo
-8504080300813303531,solo
-8451505283717774269,solo
-8448512435953593547,en pareja
-8443598907834718219,solo
-8398559881143275973,en pareja
-8365163451678187657,en pareja
-8359285587094464198,en pareja
-8354374332399119968,solo
-8329674616041212721,en pareja
-8329328007367532075,en pareja
-8327006422944799270,en familia
-8227430508600310036,con amigos
-8126619188474918405,solo
-8122355397352899918,en pareja
-8072145557550292689,solo
-8054441473101841920,en pareja
-8037941267812450360,solo
-8004760423036591170,con amigos
-7942178045623372620,en pareja
-7934614096641028967,en familia
-7921611350748222043,en pareja
-7893233308686200279,en familia
-7888845655885142389,en pareja
-7816011635547497990,en familia
-7806833975944397197,solo
-7791831028026804401,solo
-7783759056880316138,solo
-7742603011672401500,en pareja
-7713724805236632109,solo
-7706493922668444289,solo
-7705461824913013229,solo
-7688014550707447657,en familia
-7664982519626652512,en pareja
-7660678214718556796,con amigos
-7647961466797522548,solo
-7532640214510869373,en familia
-7530964113767441114,en familia
-7467781154899846440,con amigos
-7437156360191256342,en familia
-7428913604648945724,solo
-7403159499225727839,con amigos
-7379210424179741237,solo
-7373820725439386556,en familia
-7367195571076422069,en pareja
-7329210789044603581,solo
-7277475419674266779,solo
-7261398601945697566,en pareja
-7239995847751283722,solo
-7181319643536431562,solo
-7181180480011355336,solo
-7178634578291155662,en pareja
-7161080515786659811,en familia
-7122503004157926303,con amigos
-7047712390344773289,solo
-7037002170825445413,solo
-7018165104637998950,solo
-7009088269730530518,solo
-6985346805120418946,solo
-6905956863545861596,solo
-6878263978848072247,en familia
-6871326110400269516,solo
-6844547001802729180,solo
-6813789254903348513,solo
-6799727699588711552,en familia
-6798491501605794097,en pareja
-6669647486923420516,en familia
-6650050512063221056,en familia
-6641881689618050549,en familia
-6532242496633402555,en pareja
-6442659029891695430,en familia
-6361318265130281171,en pareja
-6349992846431640866,solo
-6277821541742214086,en pareja
-6240315808812174401,solo
-6132087228639566826,en pareja
-6114382656206641875,solo
-6071539263283880246,solo
-6049925865133946090,solo
-6039053190987211105,solo
-6019539889791494016,solo
-5997056852187655708,en familia
-5971741251524455209,en pareja
-5963189674589710259,solo
-5903490820418622970,en familia
-5891882700775731040,en pareja
-5890951023578523978,en familia
-5890186553866836606,solo
-5793714671435329275,con amigos
-5778558186671713096,solo
-5768439578340626636,en pareja
-5731950999808264088,solo
-5700885115754872219,solo
-5676213435293024423,solo
-5641397998359705652,en pareja
-5623041931914936386,en pareja
-5614431838070825263,solo
-5592803207044546307,solo
-5575624506227615145,solo
-5575370951967529092,solo
-5574663502272965298,solo
-5554226644630710958,en familia
-5529809867933441290,en pareja
-5497176614030964593,solo
-5492833076100608393,solo
-5489562714905313734,en familia
-5469478062891296012,en familia
-5450690734927631864,en familia
-5440476200912339700,solo
-5321303344691154923,solo
-5309886815488198597,en pareja
-5296674958678947416,en pareja
-5277116633141721311,en familia
-5271100041176673775,solo
-5127166085951180407,solo
-5042683833189700653,en pareja
-5014905063940189769,solo
-5001156861686234090,en familia
-4988737302774324583,en pareja
-4961415851156618531,en pareja
-4892138437205551662,en familia
-4831516274748151075,solo
-4828757525363273520,en pareja
-4823566728119500593,solo
-4818870875663414535,solo
-4794849319259552592,en pareja
-4780925937514619724,en pareja
-4763901449469041071,solo
-4759206826854812712,en pareja
-4664088482622404817,solo
-4623899618833157721,solo
-4505983526280704893,con amigos
-4501772151437015048,en familia
-4482666113782441285,solo
-4454278339480891347,en pareja
-4437873726556447645,solo
-4307897286580092495,con amigos
-4306009156009064035,en familia
-4267722079139559036,solo
-4244269354773126128,solo
-4238651288003983729,en familia
-4208598765107090829,en familia
-4201629960118638216,solo
-4112908243906594917,en familia
-4092822501865643947,en pareja
-4076920442088872466,en familia
-4061719029742412922,solo
-4033943304107340418,con amigos
-4008721355796441232,solo
-4008459704558112300,en pareja
-3997796137907843558,solo
-3993394239355062587,solo
-3931052512945053590,solo
-3908375797942458919,en pareja
-3846462903476572671,solo
-3774338133657114424,solo
-3723965476189920877,en pareja
-3656374028450561938,en familia
-3630165958695006611,en pareja
-3604514051648600868,en pareja
-3589680154264252237,en familia
-3566925535607794310,solo
-3561170181507614338,solo
-3543169005677057505,solo
-3459917951648182208,solo
-3437268493097879000,solo
-3420709316939575636,solo
-3406068190206135414,solo
-3381528779464490515,en pareja
-3303208603411197980,en pareja
-3300043867796171008,solo
-3299880011668002719,solo
-3278819451936981645,en familia
-3277959091481599080,con amigos
-3270892696934778108,en familia
-3253997950039222482,en pareja
-3118360886560413422,solo
-3088005226687196642,en familia
-3072367179933438032,solo
-3011898236152344907,en pareja
-3010017674272458435,solo
-2849684489663719670,solo
-2846582907933929380,solo
-2837612607675313121,en pareja
-2819785133873062322,en pareja
-2811116565223884160,solo
-2799527775113582276,solo
-2790156805482711012,solo
-2764490687352907179,solo
-2759883415472863228,solo
-2742192843418590172,en pareja
-2697876225930139293,con amigos
-2629198684918597855,en pareja
-2614961306437798339,solo
-2613258020488299679,en familia
-2607026787195022850,en familia
-2593990088353624942,solo
-2554646420020145191,en pareja
-2525102131584849029,en familia
-2513916204580083577,en familia
-2495273369190645029,solo
-2490706941403411359,solo
-2452791792121948932,en pareja
-2452779713888600969,solo
-2364426395826789996,en familia
-2362456466417604476,en pareja
-2357119155254259335,con amigos
-2346609349549096972,en familia
-2313073466339899912,solo
-2293947903457930165,en familia
-2283914291126726095,solo
-2273582194726242275,solo
-2265207989145749614,solo
-2244554547017825051,solo
-2237613380299586973,en pareja
-2233478160642210738,solo
-2228673436559384417,en familia
-2196962982363188256,solo
-2182508940554555287,solo
-2169066444639535939,con hijos
-2161186966965179583,en familia
-2153952006798289056,solo
-2115630799342737271,solo
-2086702539218289608,en familia
-2078170327265075621,solo
-1995546320490402303,solo
-1986511750482445102,solo
-1888940792204465652,solo
-1881881301698623579,solo
-1881384288982481055,en familia
-1817599852535007609,solo
-1797383358689507166,en pareja
-1768943586558212433,solo
-1705318409307259050,solo
-1663315347821611101,en pareja
-1609909047720905841,solo
-1553903846456565349,en pareja
-1534768959889852113,con amigos
-1523105086754163630,en familia
-1441492182665816402,solo
-1437468281215561284,solo
-1433328906994347789,solo
-1430605486751870116,en pareja
-1426526547254772917,en pareja
-1388595086428999137,solo
-1340923448728921933,en familia
-1287467854894656428,en familia
-1273834599396799079,en pareja
-1259832914348859156,solo
-1247923424718000622,solo
-1211917036488057032,en pareja
-1183920686694759727,solo
-1146087256990018017,en familia
-1133651196491487502,en familia
-1126777957618247198,solo
-1078566642483784867,solo
-996157587136352510,en familia
-980233965457174428,en familia
-978311504847099540,solo
-961010786790414928,en pareja
-897418549506692638,en pareja
-867943492700711978,solo
-852249285957048851,solo
-822275346242903793,en familia
-806855557356782423,en pareja
-768612659961222667,solo
-735078257143836439,solo
-700776827403952416,solo
-672627708600655361,en familia
-672467847103012164,en familia
-662236378460574311,en pareja
-544303536643754383,en pareja
-541088740891385501,en pareja
-523137372147884085,en pareja
-505818097240288240,en pareja
-464384095764886251,en familia
-419257960973673135,en pareja
-385110262548096125,solo
-376346946476024851,solo
-339658042215743679,solo
-316080763063583617,solo
-313269199159989193,en familia
-299070643981730193,en pareja
-285063052819478137,solo
-266180568276405359,solo
-238439061290428255,solo
-216817500065949938,solo
-177401963461697378,en familia
-177342249167629966,en familia
-175266830574768973,solo
-174872406214591501,en pareja
-155798248479160589,solo
-125444874113308352,solo
-96982876418029056,solo
-74907548864664726,en pareja
-58564866088253802,con amigos
-6234580011298705,en pareja
22763714729841260,en familia
36442060031996578,en familia
103298369438613574,solo
125639320237225355,solo
153507207486676294,solo
178777066374694785,solo
204300284392619950,en familia
224344210266708498,en pareja
268277353004839857,en familia
418508177074282758,en familia
438306154655560977,solo
443646929001096075,en familia
490267131555575133,en familia
493965241710915787,en familia
542204240924091617,en familia
579065717047669745,solo
602709624578546623,con amigos
643477924936670347,en pareja
644945364181238722,en pareja
648119396691904330,en pareja
691506369444712803,en familia
705026532346839128,con amigos
766995818330399946,en pareja
806633739477743009,solo
836757670308476673,con amigos
845897811001596420,en familia
878986748703289900,solo
883859922343491056,en familia
921937760784146783,en pareja
985486432689371376,solo
1016910977435057567,en familia
1040768224876218784,con amigos
1045975290719574408,en pareja
1048442007483072657,con amigos
1055060405800899710,solo
1062842401949938785,solo
1173158236659561869,solo
1191819537462704581,en familia
1202806272419219606,en pareja
1220296300558657081,solo
1240089273807049610,en pareja
1284821711659297445,solo
1294016057883028227,en pareja
1315989797721991322,solo
1325350202122853671,solo
1332346997617348397,solo
1369592294717376616,solo
1381590399311590293,solo
1393598375467564244,solo
1394959446945321928,en familia
1410217572520770064,solo
1433832928183483748,en familia
1484903983071263429,solo
1523884601403443249,en familia
1533297414920834112,solo
1553989520782151028,solo
1688921805465039317,solo
1729413864403036458,en pareja
1731914411965759574,solo
1854233401072150543,solo
1877487524422925383,solo
1886438521363703230,en pareja
1909547978805462942,solo
1946834488336471215,solo
2016559571939802852,en pareja
2084671916811466966,solo
2137612765432899647,solo
2156275205825853453,solo
2170061037379329074,solo
2182455365950358274,solo
2221186701714407408,solo
2255434392724827822,con amigos
2321417591809569826,solo
2381233876830239347,solo
2391031159814817480,en pareja
2415583490131840874,solo
2466609753676197339,solo
2474639578390968870,en pareja
2476261188771973667,solo
2478166038575082079,en pareja
2501421596461031355,en pareja
2501685351600437062,en pareja
2512939907065109656,solo
2632479928718326664,en familia
2635710104575788815,con amigos
2639061988831370989,en familia
2756532522870637831,solo
2803406533467840001,solo
2809270776935142563,en familia
2832280466961034503,solo
2833288889534095043,solo
2855288103162591202,solo
2936759816601581054,solo
2982256579604427325,con amigos
2996879941864372505,en familia
3044667975017371789,solo
3049230110360886922,en familia
3056848573026756626,en pareja
3067642262423163778,en pareja
3108715210228964633,solo
3111528396899797350,en familia
3138450124372536704,en pareja
3180234206215253556,con amigos
3245646331130119333,con amigos
3266892274441055163,solo
3276291864447996440,solo
3287105362471621244,en pareja
3290819998083841755,en pareja
3312252400801923952,solo
3321204150723364317,solo
3405109549465456370,solo
3469409975016352317,solo
3504534192098651403,en familia
3572613468464408988,solo
3629249293617729918,solo
3648526271302074203,en pareja
3700981772960458339,en pareja
3715045074470770720,solo
3726285204572595933,en pareja
3767346764569853915,con amigos
3794838384617878196,solo
3797788677755685597,solo
3821558111471540047,solo
3874055812946155178,en pareja
3939025225159552654,en pareja
3966600893100698486,en pareja
4011939450970195226,solo
4013897693771810723,solo
4019918481774422992,en familia
4062930707710866084,en familia
4077450747031717381,solo
4143800808507793621,solo
4148369123189893553,en familia
4179009002443822025,en pareja
4210846632064260691,con amigos
4228337691305745023,en familia
4229112262047704358,en pareja
4254665960450230320,en pareja
4264637588165637528,solo
4290678715738779617,en pareja
4301300601823429433,solo
4344789470914703136,solo
4386598277169389882,solo
4393463132948055388,solo
4402015084734838875,en familia
4410022999154925046,en pareja
4432800152420497926,solo
4440515458312010012,solo
4444495988168166326,solo
4473264334007275171,solo
4491844667323249049,solo
4500883929251506765,solo
4528363357825058483,en familia
4538144905930051380,solo
4540054496095124428,en pareja
4606536293624132870,con amigos
4665587204212694761,solo
4672458981728214196,en pareja
4704443968737900931,solo
4759062048956753670,en pareja
4820253465314985680,solo
4838198733758162582,solo
4872223758646110145,solo
4889478631571990348,con amigos
4906326693027484247,en familia
4983585688886103824,en familia
4984783506812699895,solo
5010434749834522167,en pareja
5024226524407674940,con amigos
5083136394436085811,solo
5086217784516219632,en pareja
5117676454787140375,en pareja
5123186658287704346,solo
5172544120441531158,con amigos
5225789905267982747,solo
5330180413865031362,en pareja
5345181583046604505,solo
5393517527797221166,solo
5399166088637728708,solo
5400868987758223729,solo
5460094327485719017,solo
5461280135993598124,solo
5553620816380808644,solo
5616475960950261527,solo
5622709150512425553,en pareja
5630926993355468673,con amigos
5676682990283772990,solo
5694445527357057022,solo
5710047343257928239,solo
5722551977082991427,con amigos
5728349614631225603,solo
5739672683186928787,en pareja
5760513463278822905,solo
5773236373574864692,solo
5807985075923966519,solo
5822607063168845904,en familia
5826424314351368397,con amigos
5830555459255862512,solo
5838737901259892432,solo
5861683697830374314,en pareja
5911820036004638407,en pareja
5941097303457557172,solo
5989539076129119087,en familia
5995593469626958938,en familia
5997803829870434623,solo
6030374288063828325,solo
6039407631579982823,solo
6043942895337828302,solo
6044203278869088525,solo
6089262120205385092,solo
6102959839770076779,solo
6107313909403621222,solo
6167684908818664817,en pareja
6170716129019474881,en pareja
6181827429201553515,en pareja
6194932869878806923,en pareja
6236546322509680241,solo
6260319015158838049,en familia
6327743670773007217,solo
6334140163448557745,solo
6366267718807172034,solo
6497197349756902402,con amigos
6515612398155265039,en familia
6543585515487144240,en familia
6556647734175746901,en familia
6567924367266141375,solo
6571209659912385264,en familia
6586679359493243878,solo
6606986989314695106,en pareja
6609265072742092913,en pareja
6617579930986344364,en familia
6622071306159086865,solo
6624563497574564611,solo
6668779150765206804,solo
6680214281079139443,solo
6701137981406614879,en familia
6711169569850467511,solo
6717422545927469452,solo
6725139773108785147,con amigos
6759901182967354672,en familia
6774711613873337202,en familia
6789114088746730473,en familia
6911759815667258919,en pareja
6931971940447607372,en familia
6938485028158495180,en pareja
6963328707383579250,en pareja
7033275804253683157,solo
7099503479928143423,en familia
7115040859953930656,solo
7149261691672496644,solo
7230499094291536444,en pareja
7236062397521420527,en familia
7251206784656938555,solo
7317538730570857193,en familia
7334388201862946067,solo
7354759908355212994,solo
7360884729295659952,solo
7411976602326336688,en pareja
7427759121109252003,en familia
7441595434580300157,en pareja
7466624385378819539,en pareja
7472424118433093762,solo
7494219407013042278,solo
7530381385543252366,en familia
7543183089793222354,en pareja
7566332756230800370,solo
7598222154140092458,en pareja
7648245403842039629,en familia
7662000367004207308,en pareja
7721935441136250427,en pareja
7750406153819012937,en familia
7773098301570012050,en pareja
7810714829139703491,en pareja
7837448198921252387,en familia
7870754457348340256,solo
7881421435784079975,con amigos
7883849928616173931,en pareja
7888146835566998666,en pareja
7914983072790950263,solo
7941327383915213940,solo
7955550766889066072,en pareja
7973740820577611861,en pareja
8006375519784820575,en pareja
8041139309768905487,en familia
8059467922263708508,en pareja
8074898188907782601,solo
8080814007961598472,con amigos
8091757538606680565,en familia
8140447229514491290,en pareja
8196446799555720973,en pareja
8196657057418408035,en pareja
8198392105477807995,en familia
8260308983130913217,solo
8304948743905689953,en familia
8325113852442380912,solo
8357671695949808136,en familia
8382949802423854365,solo
8392168527679804466,solo
8411784352335285414,solo
8412420202021414135,solo
8428053930261316328,en pareja
8448035770231979728,solo
8480413895944149697,en pareja
8498574837768558005,solo
8527223882087843374,en familia
8566336725251990152,solo
8578896874202897086,en familia
8580378467842703051,solo
8612979866843362857,con amigos
8671778643153778115,solo
8704941981083419674,en pareja
8715919496125015856,en pareja
8758117269284689480,en familia
8761215226432309362,en familia
8851488158742408057,en pareja
8859499171030633222,en familia
8888381317434770174,solo
8920882118403952291,solo
8941758100915925621,solo
8986709176420754902,solo
8992514993955314420,en pareja
9075461353651419469,solo
9096207555080294762,en pareja
9138566174490535179,solo
9194739064981556015,en familia
9222160670023950607,en pareja
